squeezing_db,pZ_proxy,loss_base,pE_data,pE_anc,distance,trials,success_prob_within_cap,erasure_rate,avg_rounds_given_success,avg_fidelity_injected_given_success,avg_fidelity_logical_given_success,p_phys_eff
15.5,0.0002643039697085044,0.01,0.010015858238182511,0.015023787357273766,1.0,5000.0,0.9714,0.0286,1.1782993617459336,0.7949181212754687,0.7790029947588141,0.0010792911909125514
15.5,0.0002643039697085044,0.01,0.010015858238182511,0.015023787357273766,3.0,5000.0,0.974,0.026,1.1874743326488706,0.7949181212754687,0.7932004156903003,0.0010792911909125514
15.5,0.0002643039697085044,0.01,0.010015858238182511,0.015023787357273766,5.0,5000.0,0.9652,0.0348,1.180687940323249,0.7949181212754688,0.7947327308248031,0.0010792911909125514
15.5,0.0002643039697085044,0.01,0.010015858238182511,0.015023787357273766,7.0,5000.0,0.9668,0.0332,1.181836988001655,0.7949181212754687,0.7948981122474406,0.0010792911909125514
16.0,0.0002218718229889759,0.01,0.010013312309379338,0.015019968464069007,1.0,5000.0,0.9682,0.0318,1.167733939268746,0.79490463501177,0.7791779378265121,0.0010665615468966928
16.0,0.0002218718229889759,0.01,0.010013312309379338,0.015019968464069007,3.0,5000.0,0.9706,0.0294,1.1819493097053368,0.7949046350117701,0.7932272859640214,0.0010665615468966928
16.0,0.0002218718229889759,0.01,0.010013312309379338,0.015019968464069007,5.0,5000.0,0.9704,0.0296,1.1941467436108821,0.7949046350117701,0.7947257354122649,0.0010665615468966928
16.0,0.0002218718229889759,0.01,0.010013312309379338,0.015019968464069007,7.0,5000.0,0.9704,0.0296,1.1737427864798022,0.7949046350117701,0.7948855542684113,0.0010665615468966928
8.0,0.003648603757513078,0.015,0.015328374338176177,0.022992561507264263,1.0,5000.0,0.957,0.043,1.174921630094044,0.7959900699140502,0.764991309199223,0.0020945811272539234
8.0,0.003648603757513078,0.015,0.015328374338176177,0.022992561507264263,3.0,5000.0,0.9534,0.0466,1.1856513530522341,0.7959900699140502,0.7894971279978963,0.0020945811272539234
8.0,0.003648603757513078,0.015,0.015328374338176177,0.022992561507264263,5.0,5000.0,0.9534,0.0466,1.1640444724145165,0.7959900699140502,0.7946300705542573,0.0020945811272539234
8.0,0.003648603757513078,0.015,0.015328374338176177,0.022992561507264263,7.0,5000.0,0.9566,0.0434,1.1804306920342882,0.7959900699140503,0.7957052070148399,0.0020945811272539234
8.5,0.003062846040249265,0.015,0.015275656143622434,0.02291348421543365,1.0,5000.0,0.9554,0.0446,1.1894494452585305,0.7958050573225784,0.7674247242288573,0.0019188538120747795
8.5,0.003062846040249265,0.015,0.015275656143622434,0.02291348421543365,3.0,5000.0,0.9516,0.0484,1.1740226986128626,0.7958050573225784,0.7903592862880945,0.0019188538120747795
8.5,0.003062846040249265,0.015,0.015275656143622434,0.02291348421543365,5.0,5000.0,0.954,0.046,1.1754716981132076,0.7958050573225784,0.7947600934716581,0.0019188538120747795
8.5,0.003062846040249265,0.015,0.015275656143622434,0.02291348421543365,7.0,5000.0,0.9538,0.0462,1.1633466135458168,0.7958050573225784,0.7956045440356966,0.0019188538120747795
9.0,0.002571127612022411,0.015,0.015231401485082017,0.022847102227623026,1.0,5000.0,0.9572,0.0428,1.183660676974509,0.7956495787300862,0.7694648078632464,0.0017713382836067233
9.0,0.002571127612022411,0.015,0.015231401485082017,0.022847102227623026,3.0,5000.0,0.951,0.049,1.1785488958990535,0.7956495787300862,0.7910113700216961,0.0017713382836067233
